Region,Sector,Emission,Technology,Type,PathwayScenario,Year,Value
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2025,12.653912826882179
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2030,5.574815946117874
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2035,4.946724810717181
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2040,5.03110253182101
Rohan,Industry,CO2,HMI_Gas,Emissions,Gondor_globalLimit_364,2045,0.5465666647861597
Rohan,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2018,9.725379542235936
Rohan,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2025,29.211704944434725
Rohan,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2030,41.85755359232182
Rohan,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2035,40.87600510832665
Rohan,Industry,CO2,HMI_HardCoal,Emissions,Gondor_globalLimit_364,2040,38.93999707738621
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2018,45.44457274941396
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2025,34.933245738418556
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2030,22.903758067581258
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2035,15.223659758064791
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2040,10.602193752851443
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2045,1.6193057243883275
Harad,Industry,CO2,HHI_BF_BOF,Emissions,Gondor_globalLimit_364,2050,1.407909724065984
Harad,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2025,0.744569826261622
Harad,Industry,CO2,HHI_DRI_EAF,Emissions,Gondor_globalLimit_364,2030,0.43396219201910535
